        GATES AVENUE,Brooklyn,11221,Department of Education,45000,1.033058,TRUE,-73.93462637,40.68842503
        EAST NEW YORK AVENUE,Brooklyn,0,Department of Citywide Administrative Services,1518,0.034848,TRUE,-73.91218039,40.67189458
        STUYVESANT AVENUE,Brooklyn,11221,NYC Housing Authority,16523,0.379316,TRUE,-73.93406868,40.69449065
890 MYRTLE AVENUE,Brooklyn,11206,Housing Preservation and Development,2500,0.057392,TRUE,-73.94666273,40.69558648
1052 PUTNAM AVENUE,Brooklyn,11221,Housing Preservation and Development,2500,0.057392,TRUE,-73.91996287,40.68726021
2097 PACIFIC STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.9176581,40.67613402
1835 ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,2585,0.059343,TRUE,-73.92498221,40.67753612
54 BUFFALO AVENUE,Brooklyn,11233,Housing Preservation and Development,900,0.020661,TRUE,-73.92496085,40.6773028
2128 FULTON STREET,Brooklyn,11233,Department of Citywide Administrative Services,2500,0.057392,TRUE,-73.911994,40.678075
2034 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,1600,0.036731,TRUE,-73.9167396,40.6785188
        MARCUS GARVEY BLVD,Brooklyn,11221,Department of Citywide Administrative Services,1700,0.039027,TRUE,-73.93894569,40.68892969
1459 EASTERN PARKWAY EXT,Brooklyn,11233,Housing Preservation and Development,800,0.018365,TRUE,-73.92005607,40.66967451
        PROSPECT PLACE,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.92263685,40.67301392
        PACIFIC STREET,Brooklyn,11233,Department of Education,47172,1.08292,TRUE,-73.91434239,40.67532738
2396 DEAN STREET,Brooklyn,11233,Housing Preservation and Development,3814,0.087557,TRUE,-73.90788689,40.67440564
2020A FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.917381,40.67838
        DEAN STREET,Brooklyn,11233,Housing Preservation and Development,2036,0.04674,TRUE,-73.90766709,40.67432586
2040 PACIFIC STREET,Brooklyn,11233,Housing Preservation and Development,2151,0.04938,TRUE,-73.91816695,40.67571169
        BERGEN STREET,Brooklyn,11233,Housing Preservation and Development,2143,0.049197,TRUE,-73.915854,40.67447761
1973A BERGEN STREET,Brooklyn,11233,Housing Preservation and Development,2143,0.049197,TRUE,-73.91542422,40.67445534
808 HERKIMER STREET,Brooklyn,11233,Department of Parks & Recreation,1225,0.028122,TRUE,-73.9266399,40.67819319
1966 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.92003792,40.67870028
2156 ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,5000,0.114784,TRUE,-73.91519559,40.6762777
        FULTON STREET,Brooklyn,11213,Housing Preservation and Development,2000,0.045914,TRUE,-73.93627562,40.67942584
        PROSPECT PLACE,Brooklyn,0,Housing Preservation and Development,1561,0.035836,TRUE,-73.92275501,40.67330158
1027 FULTON STREET,Brooklyn,11238,Department of Business,1050,0.024105,TRUE,-73.96095733,40.68232333
1698 BROADWAY,Brooklyn,11207,Housing Preservation and Development,2080,0.04775,TRUE,-73.912082,40.6837245
        LEXINGTON AVENUE,Brooklyn,11238,Department of Citywide Administrative Services,643,0.014761,TRUE,-73.9578247,40.6872875
2036 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,1600,0.036731,TRUE,-73.91667245,40.6785151
        FULTON STREET,Brooklyn,11216,Housing Preservation and Development,1786,0.041001,TRUE,-73.95409931,40.68104551
2018 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.9172768,40.6785484
2042 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,1600,0.036731,TRUE,-73.916471,40.678504
1962 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.92021968,40.67871012
1903 ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,1479,0.033953,TRUE,-73.92131967,40.67721253
1733 ST MARK'S AVENUE,Brooklyn,11233,Housing Preservation and Development,2129,0.048875,TRUE,-73.90943502,40.67325955
        CHAUNCEY STREET,Brooklyn,11233,Housing Preservation and Development,559,0.012833,TRUE,-73.92745545,40.68103322
1970 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.91985616,40.67869044
        ST JOHNS PLACE,Brooklyn,11233,Housing Preservation and Development,1689,0.038774,TRUE,-73.91801219,40.66962915
        PARK PLACE,Brooklyn,11233,Housing Preservation and Development,1104,0.025344,TRUE,-73.91348561,40.67158835
1461 ST MARK'S AVENUE,Brooklyn,11233,Housing Preservation and Development,1460,0.033517,TRUE,-73.91929056,40.67371977
1915 ATLANTIC AVENUE,Brooklyn,11233,Housing Preservation and Development,1440,0.033058,TRUE,-73.92061311,40.67716264
183 SACKMAN STREET,Brooklyn,11212,Housing Preservation and Development,1667,0.038269,TRUE,-73.90563473,40.67369566
980 DUMONT AVENUE,Brooklyn,11208,Housing Preservation and Development,1533,0.035193,TRUE,-73.88233484,40.66788545
        GLENMORE AVENUE,Brooklyn,11208,Housing Preservation and Development,2070,0.047521,TRUE,-73.87825749,40.67601124
        LIVONIA AVENUE,Brooklyn,11212,Housing Preservation and Development,979,0.022475,TRUE,-73.90402409,40.66311046
        LIVONIA AVENUE,Brooklyn,11212,Housing Preservation and Development,40000,0.918274,TRUE,-73.90273011,40.66309565
1139 BROADWAY,Brooklyn,11221,Department of Education,2067,0.047452,TRUE,-73.92891813,40.69350787
        PARK PLACE,Brooklyn,0,Housing Preservation and Development,1543,0.035422,TRUE,-73.9133397,40.67162269
408 HOPKINSON AVENUE,Brooklyn,11212,Housing Preservation and Development,2000,0.045914,TRUE,-73.914499,40.67127071
        PROSPECT PLACE,Brooklyn,11238,Department of Citywide Administrative Services,1122,0.025758,TRUE,-73.9622891,40.67672951
        PROSPECT PLACE,Brooklyn,11213,Department of Citywide Administrative Services,2129,0.048875,TRUE,-73.9394965,40.67400665
319 SARATOGA AVENUE,Brooklyn,11233,Housing Preservation and Development,1600,0.036731,TRUE,-73.91653875,40.67473075
1700 BROADWAY,Brooklyn,11207,Housing Preservation and Development,4680,0.107438,TRUE,-73.91204033,40.683701
1968 FULTON STREET,Brooklyn,11233,Housing Preservation and Development,2000,0.045914,TRUE,-73.91994704,40.67869536
335 RALPH AVENUE,Brooklyn,11233,Housing Preservation and Development,3060,0.070248,TRUE,-73.92148881,40.67747615
867 GLENMORE AVENUE,Brooklyn,11208,Housing Preservation and Development,1665,0.038223,TRUE,-73.87804473,40.67604121
535 LINWOOD STREET,Brooklyn,11208,Housing Preservation and Development,5400,0.123967,TRUE,-73.88192518,40.67235803
437 GLENMORE AVENUE,Brooklyn,11207,Housing Preservation and Development,1885,0.043274,TRUE,-73.89416722,40.67363079
1416 EASTERN PARKWAY EXT,Brooklyn,11233,Housing Preservation and Development,756,0.017355,TRUE,-73.92129006,40.66870645
913 KENT AVENUE,Brooklyn,11205,Department of Environmental Protection,63619,1.460491,TRUE,-73.958579,40.6943
53 BARTLETT STREET,Brooklyn,11206,Housing Preservation and Development,2500,0.057392,TRUE,-73.9465188,40.70139196
